2019-01-03T00:15:00.000+04:00,03.01.2019,00:15-00:30,00:15,AM,15.62,20.26,24.31,-2.691<,-2.867<,-2.552<,-2.619<,-2.872<,44.47,0.0,99.9473,0.5876
2019-01-03T00:30:00.000+04:00,03.01.2019,00:30-00:45,00:30,AM,16.51,19.95,24.37,-1.582<,-1.603<,-1.443<,-1.573<,-1.619<,43.865,0.0,94.2283,0.6279
2019-01-03T00:45:00.000+04:00,03.01.2019,00:45-01:00,00:45,AM,16.49,20.06,24.36,-2.957<,-3.141<,-2.787<,-2.862<,-2.678<,41.751,0.0,108.8439,0.7062
2019-01-03T01:00:00.000+04:00,03.01.2019,01:00-01:15,01:00,AM,14.82,20.08,24.35,-3.907<,-4.204<,-3.743<,-3.774<,-3.692<,43.601,0.0,108.8993,0.7938
2019-01-03T01:15:00.000+04:00,03.01.2019,01:15-01:30,01:15,AM,14.22,20.01,24.28,-2.996<,-3.187<,-2.822<,-2.875<,-2.971<,45.92,0.0,107.0278,1.1565
2019-01-03T01:30:00.000+04:00,03.01.2019,01:30-01:45,01:30,AM,13.96,20.02,24.32,-2.494<,-2.597<,-2.313<,-2.383<,-2.633<,47.522,0.0,104.6318,1.1086
2019-01-03T01:45:00.000+04:00,03.01.2019,01:45-02:00,01:45,AM,14.02,19.96,24.25,-2.250<,-2.355<,-2.105<,-2.171<,-2.442<,48.671,0.0,101.4815,1.2232
2019-01-03T02:00:00.000+04:00,03.01.2019,02:00-02:15,02:00,AM,14.04,20.2,24.53,-2.063<,-2.139<,-1.921<,-2.003<,-2.360<,49.693,0.0,100.3794,0.9527
2019-01-03T02:15:00.000+04:00,03.01.2019,02:15-02:30,02:15,AM,14.25,19.8,24.18,-2.085<,-2.170<,-1.952<,-2.017<,-2.223<,49.515,0.0,102.3054,1.118
2019-01-03T02:30:00.000+04:00,03.01.2019,02:30-02:45,02:30,AM,14.32,20.18,24.45,-2.239<,-2.362<,-2.098<,-2.157<,-2.247<,49.392,0.0,103.3247,1.3026
2019-01-03T02:45:00.000+04:00,03.01.2019,02:45-03:00,02:45,AM,14.45,20.06,24.29,-2.124<,-2.231<,-1.992<,-2.038<,-2.097<,49.209,0.0,95.7636,1.5177
